"","date","value"
"386",2018-07-01,0.54
"387",2018-08-01,0.57
"388",2018-09-01,0.47
"389",2018-10-01,0.54
"390",2018-11-01,0.49
"391",2018-12-01,0.49
"392",2019-01-01,0.54
"393",2019-02-01,0.49
"394",2019-03-01,0.47
"395",2019-04-01,0.52
"396",2019-05-01,0.54
"397",2019-06-01,0.47
"398",2019-07-01,0.57
"399",2019-08-01,0.5
"400",2019-09-01,0.46
"401",2019-10-01,0.48
"402",2019-11-01,0.38
"403",2019-12-01,0.37
"404",2020-01-01,0.38
"405",2020-02-01,0.29
"406",2020-03-01,0.34
"407",2020-04-01,0.28
"408",2020-05-01,0.24
"409",2020-06-01,0.21
"410",2020-07-01,0.19
"411",2020-08-01,0.16
"412",2020-09-01,0.16
"413",2020-10-01,0.16
"414",2020-11-01,0.15
"415",2020-12-01,0.16
"416",2021-01-01,0.15
"417",2021-02-01,0.13
"418",2021-03-01,0.2
"419",2021-04-01,0.21
"420",2021-05-01,0.27
"421",2021-06-01,0.31
"422",2021-07-01,0.36
"423",2021-08-01,0.43
"424",2021-09-01,0.44
"425",2021-10-01,0.49
"426",2021-11-01,0.53
